Pathway Accession	Mapped Ids	Pathway Name	Componenets	Subfamilies	Associated Sequence
P00047	HUMAN|HGNC=8800|UniProtKB=P01127,HUMAN|HGNC=26545|UniProtKB=A6NI28,HUMAN|HGNC=29869|UniProtKB=P98077,HUMAN|HGNC=19164|UniProtKB=Q9Y3M8,HUMAN|HGNC=6407|UniProtKB=P01116,HUMAN|HGNC=21030|UniProtKB=Q53QZ3,HUMAN|HGNC=26099|UniProtKB=A1A4S6,HUMAN|HGNC=392|UniProtKB=P31751,HUMAN|HGNC=673|UniProtKB=Q07960,HUMAN|HGNC=10430|UniProtKB=Q15418,HUMAN|HGNC=2897|UniProtKB=Q96QB1,HUMAN|HGNC=9872|UniProtKB=Q15283,HUMAN|HGNC=3321|UniProtKB=P19419,HUMAN|HGNC=8972|UniProtKB=O00750,HUMAN|HGNC=15980|UniProtKB=Q96A58,HUMAN|HGNC=9761|UniProtKB=Q15907,HUMAN|HGNC=8148|UniProtKB=O60890,HUMAN|HGNC=8981|UniProtKB=Q92569,HUMAN|HGNC=8804|UniProtKB=P09619,HUMAN|HGNC=8974|UniProtKB=Q8NEB9,HUMAN|HGNC=8980|UniProtKB=O00459,HUMAN|HGNC=12659|UniProtKB=Q9UKW4,HUMAN|HGNC=8803|UniProtKB=P16234,HUMAN|HGNC=11187|UniProtKB=Q07889,HUMAN|HGNC=668|UniProtKB=P62745,HUMAN|HGNC=6879|UniProtKB=Q16659,HUMAN|HGNC=11366|UniProtKB=P42229,HUMAN|HGNC=3318|UniProtKB=P78545,HUMAN|HGNC=675|UniProtKB=Q13017,HUMAN|HGNC=10435|UniProtKB=Q9UK32,HUMAN|HGNC=8979|UniProtKB=P27986,HUMAN|HGNC=6840|UniProtKB=Q02750,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=10431|UniProtKB=Q15349,HUMAN|HGNC=9763|UniProtKB=P61019,HUMAN|HGNC=6192|UniProtKB=O60674,HUMAN|HGNC=3320|UniProtKB=Q9UKW6,HUMAN|HGNC=3316|UniProtKB=P32519,HUMAN|HGNC=9065|UniProtKB=P19174,HUMAN|HGNC=3749|UniProtKB=Q01543,HUMAN|HGNC=3319|UniProtKB=Q99607,HUMAN|HGNC=19751|UniProtKB=O75044,HUMAN|HGNC=8978|UniProtKB=P48736,HUMAN|HGNC=31813|UniProtKB=Q6ZUM4,HUMAN|HGNC=646|UniProtKB=P10398,HUMAN|HGNC=7664|UniProtKB=P16333,HUMAN|HGNC=6842|UniProtKB=P36507,HUMAN|HGNC=23181|UniProtKB=O43374,HUMAN|HGNC=11364|UniProtKB=P40763,HUMAN|HGNC=3446|UniProtKB=P11308,HUMAN|HGNC=6190|UniProtKB=P23458,HUMAN|HGNC=30584|UniProtKB=P0DJJ0,HUMAN|HGNC=9066|UniProtKB=P16885,HUMAN|HGNC=3796|UniProtKB=P01100,HUMAN|HGNC=6845|UniProtKB=Q13163,HUMAN|HGNC=6204|UniProtKB=P05412,HUMAN|HGNC=6180|UniProtKB=Q14643,HUMAN|HGNC=3488|UniProtKB=P14921,HUMAN|HGNC=7110|UniProtKB=Q9BUB5,HUMAN|HGNC=6182|UniProtKB=Q14573,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=8799|UniProtKB=P04085,HUMAN|HGNC=17073|UniProtKB=Q9UNA1,HUMAN|HGNC=10436|UniProtKB=P23443,HUMAN|HGNC=6880|UniProtKB=Q13164,HUMAN|HGNC=14130|UniProtKB=Q9BRR9,HUMAN|HGNC=8816|UniProtKB=O15530,HUMAN|HGNC=11362|UniProtKB=P42224,HUMAN|HGNC=7111|UniProtKB=Q9HBH9,HUMAN|HGNC=17257|UniProtKB=O95238,HUMAN|HGNC=10432|UniProtKB=P51812,HUMAN|HGNC=12657|UniProtKB=P15498,HUMAN|HGNC=7665|UniProtKB=O43639,HUMAN|HGNC=11291|UniProtKB=P11831,HUMAN|HGNC=7554|UniProtKB=Q99417,HUMAN|HGNC=7989|UniProtKB=P01111,HUMAN|HGNC=9406|UniProtKB=Q16513,HUMAN|HGNC=6181|UniProtKB=Q14571,HUMAN|HGNC=10439|UniProtKB=Q96S38,HUMAN|HGNC=676|UniProtKB=O43182,HUMAN|HGNC=3942|UniProtKB=P42345,HUMAN|HGNC=9829|UniProtKB=P04049,HUMAN|HGNC=9873|UniProtKB=O95294,HUMAN|HGNC=9393|UniProtKB=P17252,HUMAN|HGNC=4616|UniProtKB=P49840,HUMAN|HGNC=6881|UniProtKB=P45983,HUMAN|HGNC=8976|UniProtKB=P42338,HUMAN|HGNC=17271|UniProtKB=P62070,HUMAN|HGNC=6887|UniProtKB=P49137,HUMAN|HGNC=3492|UniProtKB=P41162,HUMAN|HGNC=3326|UniProtKB=P28324,HUMAN|HGNC=9902|UniProtKB=P52756,HUMAN|HGNC=5173|UniProtKB=P01112,HUMAN|HGNC=9871|UniProtKB=P20936,HUMAN|HGNC=16348|UniProtKB=Q8IWW6,HUMAN|HGNC=7553|UniProtKB=P01106,HUMAN|HGNC=10434|UniProtKB=O75582,HUMAN|HGNC=11367|UniProtKB=P51692,HUMAN|HGNC=6193|UniProtKB=P52333,HUMAN|HGNC=10433|UniProtKB=O75676,HUMAN|HGNC=3246|UniProtKB=Q9NZC4,HUMAN|HGNC=11368|UniProtKB=P42226,HUMAN|HGNC=12902|UniProtKB=P17014,HUMAN|HGNC=6913|UniProtKB=P61244,HUMAN|HGNC=4617|UniProtKB=P49841,HUMAN|HGNC=17382|UniProtKB=Q7Z6B7,HUMAN|HGNC=4071|UniProtKB=Q06546,HUMAN|HGNC=19161|UniProtKB=Q92502,HUMAN|HGNC=11363|UniProtKB=P52630,HUMAN|HGNC=31682|UniProtKB=P85299,HUMAN|HGNC=1097|UniProtKB=P15056,HUMAN|HGNC=18181|UniProtKB=Q92529,HUMAN|HGNC=8975|UniProtKB=P42336,HUMAN|HGNC=3317|UniProtKB=Q15723,HUMAN|HGNC=10437|UniProtKB=Q9UBS0,HUMAN|HGNC=11188|UniProtKB=Q07890,HUMAN|HGNC=5960|UniProtKB=O14920,HUMAN|HGNC=3444|UniProtKB=P50548,HUMAN|HGNC=1974|UniProtKB=O15111,HUMAN|HGNC=12658|UniProtKB=P52735,HUMAN|HGNC=10840|UniProtKB=P29353,HUMAN|HGNC=35202|UniProtKB=C9J798,HUMAN|HGNC=8977|UniProtKB=O00329	PDGF signaling pathway	36	203	981
P00010	HUMAN|HGNC=9399|UniProtKB=Q05655,HUMAN|HGNC=7778|UniProtKB=Q14934,HUMAN|HGNC=9658|UniProtKB=P29350,HUMAN|HGNC=6872|UniProtKB=P53779,HUMAN|HGNC=1449|UniProtKB=P62158,HUMAN|HGNC=6735|UniProtKB=P07948,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=12657|UniProtKB=P15498,HUMAN|HGNC=6854|UniProtKB=Q9Y2U5,HUMAN|HGNC=8972|UniProtKB=O00750,HUMAN|HGNC=9315|UniProtKB=P16298,HUMAN|HGNC=9314|UniProtKB=Q08209,HUMAN|HGNC=9666|UniProtKB=P08575,HUMAN|HGNC=7795|UniProtKB=Q00653,HUMAN|HGNC=7777|UniProtKB=Q12968,HUMAN|HGNC=9402|UniProtKB=P05129,HUMAN|HGNC=7989|UniProtKB=P01111,HUMAN|HGNC=6181|UniProtKB=Q14571,HUMAN|HGNC=7776|UniProtKB=Q13469,HUMAN|HGNC=9801|UniProtKB=P63000,HUMAN|HGNC=9395|UniProtKB=P05771,HUMAN|HGNC=9829|UniProtKB=P04049,HUMAN|HGNC=12659|UniProtKB=Q9UKW4,HUMAN|HGNC=9802|UniProtKB=P15153,HUMAN|HGNC=7794|UniProtKB=P19838,HUMAN|HGNC=11187|UniProtKB=Q07889,HUMAN|HGNC=6881|UniProtKB=P45983,HUMAN|HGNC=8976|UniProtKB=P42338,HUMAN|HGNC=14211|UniProtKB=Q8WV28,HUMAN|HGNC=5173|UniProtKB=P01112,HUMAN|HGNC=6886|UniProtKB=P45984,HUMAN|HGNC=1698|UniProtKB=P11912,HUMAN|HGNC=6840|UniProtKB=Q02750,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=7800|UniProtKB=Q9UBC1,HUMAN|HGNC=7775|UniProtKB=O95644,HUMAN|HGNC=8978|UniProtKB=P48736,HUMAN|HGNC=646|UniProtKB=P10398,HUMAN|HGNC=6842|UniProtKB=P36507,HUMAN|HGNC=9316|UniProtKB=P48454,HUMAN|HGNC=11491|UniProtKB=P43405,HUMAN|HGNC=1633|UniProtKB=P15391,HUMAN|HGNC=7797|UniProtKB=P25963,HUMAN|HGNC=1133|UniProtKB=Q06187,HUMAN|HGNC=9803|UniProtKB=P60763,HUMAN|HGNC=9066|UniProtKB=P16885,HUMAN|HGNC=3796|UniProtKB=P01100,HUMAN|HGNC=6204|UniProtKB=P05412,HUMAN|HGNC=6875|UniProtKB=O15264,HUMAN|HGNC=1097|UniProtKB=P15056,HUMAN|HGNC=6180|UniProtKB=Q14643,HUMAN|HGNC=8975|UniProtKB=P42336,HUMAN|HGNC=6182|UniProtKB=Q14573,HUMAN|HGNC=1643|UniProtKB=P20273,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=11188|UniProtKB=Q07890,HUMAN|HGNC=5960|UniProtKB=O14920,HUMAN|HGNC=1974|UniProtKB=O15111,HUMAN|HGNC=12658|UniProtKB=P52735,HUMAN|HGNC=6855|UniProtKB=Q99759,HUMAN|HGNC=6873|UniProtKB=Q15759,HUMAN|HGNC=8977|UniProtKB=O00329	B cell activation	37	86	418
P04395	HUMAN|HGNC=23401|UniProtKB=Q9Y6A9,HUMAN|HGNC=2303|UniProtKB=P16870,HUMAN|HGNC=26212|UniProtKB=P61009,HUMAN|HGNC=28962|UniProtKB=Q15005,HUMAN|HGNC=30228|UniProtKB=Q4J6C6,HUMAN|HGNC=9358|UniProtKB=P48147,HUMAN|HGNC=28283|UniProtKB=Q6UXU4,HUMAN|HGNC=8596|UniProtKB=P19021,HUMAN|HGNC=894|UniProtKB=P01185,HUMAN|HGNC=23400|UniProtKB=Q9BY50,HUMAN|HGNC=17718|UniProtKB=P67812	Vasopressin synthesis	11	27	121
P00019	HUMAN|HGNC=3179|UniProtKB=P25101,HUMAN|HGNC=9399|UniProtKB=Q05655,HUMAN|HGNC=4382|UniProtKB=O95837,HUMAN|HGNC=9391|UniProtKB=P13861,HUMAN|HGNC=9414|UniProtKB=Q13976,HUMAN|HGNC=9059|UniProtKB=Q15147,HUMAN|HGNC=3178|UniProtKB=P14138,HUMAN|HGNC=3176|UniProtKB=P05305,HUMAN|HGNC=9392|UniProtKB=P31323,HUMAN|HGNC=3147|UniProtKB=O95672,HUMAN|HGNC=392|UniProtKB=P31751,HUMAN|HGNC=8747|UniProtKB=Q92824,HUMAN|HGNC=8972|UniProtKB=O00750,HUMAN|HGNC=4392|UniProtKB=Q5JWF2,HUMAN|HGNC=238|UniProtKB=P51828,HUMAN|HGNC=9402|UniProtKB=P05129,HUMAN|HGNC=8971|UniProtKB=O00443,HUMAN|HGNC=6181|UniProtKB=Q14571,HUMAN|HGNC=393|UniProtKB=Q9Y243,HUMAN|HGNC=391|UniProtKB=P31749,HUMAN|HGNC=8981|UniProtKB=Q92569,HUMAN|HGNC=12776|UniProtKB=O96014,HUMAN|HGNC=8568|UniProtKB=P09958,HUMAN|HGNC=9395|UniProtKB=P05771,HUMAN|HGNC=9829|UniProtKB=P04049,HUMAN|HGNC=9403|UniProtKB=P24723,HUMAN|HGNC=8974|UniProtKB=Q8NEB9,HUMAN|HGNC=9393|UniProtKB=P17252,HUMAN|HGNC=8980|UniProtKB=O00459,HUMAN|HGNC=8976|UniProtKB=P42338,HUMAN|HGNC=233|UniProtKB=Q08462,HUMAN|HGNC=4687|UniProtKB=Q02153,HUMAN|HGNC=9404|UniProtKB=P41743,HUMAN|HGNC=17718|UniProtKB=P67812,HUMAN|HGNC=9401|UniProtKB=Q02156,HUMAN|HGNC=237|UniProtKB=O43306,HUMAN|HGNC=15917|UniProtKB=Q9NQ66,HUMAN|HGNC=3146|UniProtKB=P42892,HUMAN|HGNC=7876|UniProtKB=P29474,HUMAN|HGNC=9380|UniProtKB=P17612,HUMAN|HGNC=9056|UniProtKB=Q01970,HUMAN|HGNC=240|UniProtKB=O60503,HUMAN|HGNC=9441|UniProtKB=P51817,HUMAN|HGNC=8979|UniProtKB=P27986,HUMAN|HGNC=6840|UniProtKB=Q02750,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=234|UniProtKB=O60266,HUMAN|HGNC=3177|UniProtKB=P20800,HUMAN|HGNC=9381|UniProtKB=P22694,HUMAN|HGNC=8978|UniProtKB=P48736,HUMAN|HGNC=12902|UniProtKB=P17014,HUMAN|HGNC=6842|UniProtKB=P36507,HUMAN|HGNC=236|UniProtKB=O95622,HUMAN|HGNC=9605|UniProtKB=P35354,HUMAN|HGNC=408|UniProtKB=P51649,HUMAN|HGNC=232|UniProtKB=Q08828,HUMAN|HGNC=4684|UniProtKB=P33402,HUMAN|HGNC=9416|UniProtKB=Q13237,HUMAN|HGNC=9388|UniProtKB=P10644,HUMAN|HGNC=4390|UniProtKB=P50148,HUMAN|HGNC=9035|UniProtKB=P47712,HUMAN|HGNC=6845|UniProtKB=Q13163,HUMAN|HGNC=9390|UniProtKB=P31321,HUMAN|HGNC=13275|UniProtKB=O60344,HUMAN|HGNC=6180|UniProtKB=Q14643,HUMAN|HGNC=8975|UniProtKB=P42336,HUMAN|HGNC=6182|UniProtKB=Q14573,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=23400|UniProtKB=Q9BY50,HUMAN|HGNC=8977|UniProtKB=O00329,HUMAN|HGNC=9055|UniProtKB=Q00722	Endothelin signaling pathway	27	144	702
P02721	HUMAN|HGNC=28391|UniProtKB=Q96L08,HUMAN|HGNC=2579|UniProtKB=P08574,HUMAN|HGNC=7419|UniProtKB=P00395,HUMAN|HGNC=823|UniProtKB=P25705,HUMAN|HGNC=833|UniProtKB=P36542,HUMAN|HGNC=830|UniProtKB=P06576,HUMAN|HGNC=7414|UniProtKB=P00846,HUMAN|HGNC=19986|UniProtKB=P99999	ATP synthesis	12	19	72
P04397	HUMAN|HGNC=3288|UniProtKB=Q13541,HUMAN|HGNC=10436|UniProtKB=P23443,HUMAN|HGNC=15979|UniProtKB=Q9H3D4,HUMAN|HGNC=11998|UniProtKB=P04637,HUMAN|HGNC=11389|UniProtKB=Q15831,HUMAN|HGNC=393|UniProtKB=Q9Y243,HUMAN|HGNC=391|UniProtKB=P31749,HUMAN|HGNC=9299|UniProtKB=P67775,HUMAN|HGNC=9379|UniProtKB=O43741,HUMAN|HGNC=3942|UniProtKB=P42345,HUMAN|HGNC=9376|UniProtKB=Q13131,HUMAN|HGNC=12003|UniProtKB=O15350,HUMAN|HGNC=392|UniProtKB=P31751,HUMAN|HGNC=9377|UniProtKB=P54646,HUMAN|HGNC=9300|UniProtKB=P62714,HUMAN|HGNC=10011|UniProtKB=Q15382,HUMAN|HGNC=12362|UniProtKB=Q92574,HUMAN|HGNC=5461|UniProtKB=P78318,HUMAN|HGNC=10437|UniProtKB=Q9UBS0,HUMAN|HGNC=12363|UniProtKB=P49815,HUMAN|HGNC=9378|UniProtKB=Q9Y478,HUMAN|HGNC=9385|UniProtKB=P54619	p53 pathway by glucose deprivation	13	38	199
P05728	HUMAN|HGNC=3553|UniProtKB=O00519	Anandamide degradation	1	1	5
P00024	HUMAN|HGNC=418|UniProtKB=P09972,HUMAN|HGNC=8876|UniProtKB=P17858,HUMAN|HGNC=4458|UniProtKB=P06744,HUMAN|HGNC=4141|UniProtKB=P04406,HUMAN|HGNC=24864|UniProtKB=O14556,HUMAN|HGNC=8896|UniProtKB=P00558,HUMAN|HGNC=23302|UniProtKB=Q2TB90,HUMAN|HGNC=417|UniProtKB=P05062,HUMAN|HGNC=4922|UniProtKB=P19367,HUMAN|HGNC=414|UniProtKB=P04075,HUMAN|HGNC=8877|UniProtKB=P08237,HUMAN|HGNC=3350|UniProtKB=P06733,HUMAN|HGNC=12009|UniProtKB=P60174,HUMAN|HGNC=4923|UniProtKB=P52789,HUMAN|HGNC=4862|UniProtKB=P55160,HUMAN|HGNC=3353|UniProtKB=P09104,HUMAN|HGNC=8888|UniProtKB=P18669,HUMAN|HGNC=1093|UniProtKB=P07738,HUMAN|HGNC=9021|UniProtKB=P14618,HUMAN|HGNC=31670|UniProtKB=A6NNW6,HUMAN|HGNC=21731|UniProtKB=Q8N0Y7	Glycolysis	10	54	152
P00001	HUMAN|HGNC=2228|UniProtKB=P21964,HUMAN|HGNC=11133|UniProtKB=O95721,HUMAN|HGNC=31399|UniProtKB=Q9H1V8,HUMAN|HGNC=12644|UniProtKB=Q15836,HUMAN|HGNC=11131|UniProtKB=O00161,HUMAN|HGNC=13621|UniProtKB=Q9H2J7,HUMAN|HGNC=11132|UniProtKB=P60880,HUMAN|HGNC=11486|UniProtKB=P51809,HUMAN|HGNC=30927|UniProtKB=Q9NP91,HUMAN|HGNC=2689|UniProtKB=P09172,HUMAN|HGNC=2719|UniProtKB=P20711,HUMAN|HGNC=12642|UniProtKB=P23763,HUMAN|HGNC=11782|UniProtKB=P07101,HUMAN|HGNC=11442|UniProtKB=O15400,HUMAN|HGNC=27960|UniProtKB=Q695T7,HUMAN|HGNC=9160|UniProtKB=P11086,HUMAN|HGNC=10935|UniProtKB=Q05940,HUMAN|HGNC=12643|UniProtKB=P63027,HUMAN|HGNC=6834|UniProtKB=P27338,HUMAN|HGNC=17793|UniProtKB=Q9UEU0,HUMAN|HGNC=13622|UniProtKB=Q9GZN6,HUMAN|HGNC=11430|UniProtKB=Q86Y82	Adrenaline and noradrenaline biosynthesis	12	45	194
P04386	HUMAN|HGNC=9391|UniProtKB=P13861,HUMAN|HGNC=9380|UniProtKB=P17612,HUMAN|HGNC=5183|UniProtKB=P25021,HUMAN|HGNC=4392|UniProtKB=Q5JWF2,HUMAN|HGNC=238|UniProtKB=P51828,HUMAN|HGNC=9392|UniProtKB=P31323,HUMAN|HGNC=233|UniProtKB=Q08462,HUMAN|HGNC=9381|UniProtKB=P22694,HUMAN|HGNC=9441|UniProtKB=P51817	Histamine H2 receptor mediated signaling pathway	4	20	84
P00048	HUMAN|HGNC=4382|UniProtKB=O95837,HUMAN|HGNC=1582|UniProtKB=P24385,HUMAN|HGNC=10436|UniProtKB=P23443,HUMAN|HGNC=5173|UniProtKB=P01112,HUMAN|HGNC=7876|UniProtKB=P29474,HUMAN|HGNC=4401|UniProtKB=O14775,HUMAN|HGNC=6407|UniProtKB=P01116,HUMAN|HGNC=8816|UniProtKB=O15530,HUMAN|HGNC=4095|UniProtKB=P24522,HUMAN|HGNC=20731|UniProtKB=Q9HAV0,HUMAN|HGNC=5469|UniProtKB=P08833,HUMAN|HGNC=8979|UniProtKB=P27986,HUMAN|HGNC=392|UniProtKB=P31751,HUMAN|HGNC=6192|UniProtKB=O60674,HUMAN|HGNC=8972|UniProtKB=O00750,HUMAN|HGNC=6125|UniProtKB=P35568,HUMAN|HGNC=4400|UniProtKB=P16520,HUMAN|HGNC=3821|UniProtKB=O43524,HUMAN|HGNC=6091|UniProtKB=P06213,HUMAN|HGNC=7989|UniProtKB=P01111,HUMAN|HGNC=6080|UniProtKB=O15357,HUMAN|HGNC=4412|UniProtKB=O14610,HUMAN|HGNC=4617|UniProtKB=P49841,HUMAN|HGNC=4398|UniProtKB=P62879,HUMAN|HGNC=393|UniProtKB=Q9Y243,HUMAN|HGNC=9588|UniProtKB=P60484,HUMAN|HGNC=1583|UniProtKB=P30279,HUMAN|HGNC=391|UniProtKB=P31749,HUMAN|HGNC=8981|UniProtKB=Q92569,HUMAN|HGNC=9595|UniProtKB=P43115,HUMAN|HGNC=4390|UniProtKB=P50148,HUMAN|HGNC=1511|UniProtKB=P55211,HUMAN|HGNC=3819|UniProtKB=Q12778,HUMAN|HGNC=4411|UniProtKB=P63211,HUMAN|HGNC=8980|UniProtKB=O00459,HUMAN|HGNC=8975|UniProtKB=P42336,HUMAN|HGNC=11187|UniProtKB=Q07889,HUMAN|HGNC=12855|UniProtKB=P63104,HUMAN|HGNC=10437|UniProtKB=Q9UBS0,HUMAN|HGNC=11188|UniProtKB=Q07890,HUMAN|HGNC=8976|UniProtKB=P42338,HUMAN|HGNC=17271|UniProtKB=P62070,HUMAN|HGNC=7139|UniProtKB=P98177,HUMAN|HGNC=7873|UniProtKB=P35228,HUMAN|HGNC=4396|UniProtKB=P62873	PI3 kinase pathway	35	78	394
P02735	HUMAN|HGNC=1185|UniProtKB=Q9NQ88	Cobalamin biosynthesis	7	1	1
P00013	HUMAN|HGNC=23789|UniProtKB=Q9BW66,HUMAN|HGNC=1589|UniProtKB=P24864,HUMAN|HGNC=1582|UniProtKB=P24385,HUMAN|HGNC=9561|UniProtKB=P55036,HUMAN|HGNC=9556|UniProtKB=O00231,HUMAN|HGNC=9570|UniProtKB=P61289,HUMAN|HGNC=1579|UniProtKB=P14635,HUMAN|HGNC=10291|UniProtKB=P35244,HUMAN|HGNC=1583|UniProtKB=P30279,HUMAN|HGNC=3115|UniProtKB=O00716,HUMAN|HGNC=24077|UniProtKB=Q9UM13,HUMAN|HGNC=3275|UniProtKB=O00303,HUMAN|HGNC=3723|UniProtKB=Q9Y680,HUMAN|HGNC=1590|UniProtKB=O96020,HUMAN|HGNC=9558|UniProtKB=Q9UNM6,HUMAN|HGNC=9560|UniProtKB=O43242,HUMAN|HGNC=16889|UniProtKB=O00487,HUMAN|HGNC=9557|UniProtKB=O00232,HUMAN|HGNC=9569|UniProtKB=Q9UL46,HUMAN|HGNC=9565|UniProtKB=P51665,HUMAN|HGNC=1585|UniProtKB=P30281	Cell cycle	12	43	155
P04398	HUMAN|HGNC=15979|UniProtKB=Q9H3D4,HUMAN|HGNC=5173|UniProtKB=P01112,HUMAN|HGNC=1592|UniProtKB=P51959,HUMAN|HGNC=7553|UniProtKB=P01106,HUMAN|HGNC=1578|UniProtKB=P20248,HUMAN|HGNC=1577|UniProtKB=P78396,HUMAN|HGNC=6407|UniProtKB=P01116,HUMAN|HGNC=8816|UniProtKB=O15530,HUMAN|HGNC=9299|UniProtKB=P67775,HUMAN|HGNC=3115|UniProtKB=O00716,HUMAN|HGNC=6973|UniProtKB=Q00987,HUMAN|HGNC=8979|UniProtKB=P27986,HUMAN|HGNC=6876|UniProtKB=Q16539,HUMAN|HGNC=392|UniProtKB=P31751,HUMAN|HGNC=9300|UniProtKB=P62714,HUMAN|HGNC=8972|UniProtKB=O00750,HUMAN|HGNC=9277|UniProtKB=O15297,HUMAN|HGNC=8978|UniProtKB=P48736,HUMAN|HGNC=2514|UniProtKB=P35222,HUMAN|HGNC=8971|UniProtKB=O00443,HUMAN|HGNC=9893|UniProtKB=P28749,HUMAN|HGNC=1589|UniProtKB=P24864,HUMAN|HGNC=7989|UniProtKB=P01111,HUMAN|HGNC=6974|UniProtKB=O15151,HUMAN|HGNC=11998|UniProtKB=P04637,HUMAN|HGNC=393|UniProtKB=Q9Y243,HUMAN|HGNC=9588|UniProtKB=P60484,HUMAN|HGNC=391|UniProtKB=P31749,HUMAN|HGNC=8981|UniProtKB=Q92569,HUMAN|HGNC=12003|UniProtKB=O15350,HUMAN|HGNC=1771|UniProtKB=P24941,HUMAN|HGNC=8974|UniProtKB=Q8NEB9,HUMAN|HGNC=6875|UniProtKB=O15264,HUMAN|HGNC=8980|UniProtKB=O00459,HUMAN|HGNC=8975|UniProtKB=P42336,HUMAN|HGNC=8976|UniProtKB=P42338,HUMAN|HGNC=1784|UniProtKB=P38936,HUMAN|HGNC=9884|UniProtKB=P06400,HUMAN|HGNC=17271|UniProtKB=P62070,HUMAN|HGNC=6873|UniProtKB=Q15759,HUMAN|HGNC=882|UniProtKB=Q13535,HUMAN|HGNC=795|UniProtKB=Q13315,HUMAN|HGNC=8977|UniProtKB=O00329	p53 pathway feedback loops 2	32	75	427
P02729	HUMAN|HGNC=12839|UniProtKB=O75191,HUMAN|HGNC=10293|UniProtKB=Q96AT9,HUMAN|HGNC=1492|UniProtKB=Q9UHJ6,HUMAN|HGNC=5384|UniProtKB=P50213	Ascorbate degradation	4	19	67
P04384	HUMAN|HGNC=23|UniProtKB=P80404,HUMAN|HGNC=408|UniProtKB=P51649,HUMAN|HGNC=21397|UniProtKB=Q8N228	Gamma-aminobutyric acid synthesis	3	8	53
P02758	HUMAN|HGNC=10451|UniProtKB=P23921,HUMAN|HGNC=8109|UniProtKB=P11926	Ornithine degradation	3	5	35
P02768	HUMAN|HGNC=9722|UniProtKB=P54886,HUMAN|HGNC=9721|UniProtKB=P32322,HUMAN|HGNC=25846|UniProtKB=Q53H96	Proline biosynthesis	3	19	78
P00017	HUMAN|HGNC=9973|UniProtKB=P40937,HUMAN|HGNC=25311|UniProtKB=Q71DI3,HUMAN|HGNC=4778|UniProtKB=Q16695,HUMAN|HGNC=11989|UniProtKB=P11388,HUMAN|HGNC=11990|UniProtKB=Q02880,HUMAN|HGNC=12836|UniProtKB=Q9H0D6,HUMAN|HGNC=4771|UniProtKB=P68431,HUMAN|HGNC=9369|UniProtKB=P49642,HUMAN|HGNC=30654|UniProtKB=Q8IZH2,HUMAN|HGNC=4764|UniProtKB=P84243,HUMAN|HGNC=18466|UniProtKB=O60930,HUMAN|HGNC=9175|UniProtKB=P28340,HUMAN|HGNC=9370|UniProtKB=P49643,HUMAN|HGNC=20603|UniProtKB=Q86SQ9,HUMAN|HGNC=8729|UniProtKB=P12004,HUMAN|HGNC=11986|UniProtKB=P11387,HUMAN|HGNC=9971|UniProtKB=P40938,HUMAN|HGNC=10290|UniProtKB=P15927,HUMAN|HGNC=18518|UniProtKB=O75792,HUMAN|HGNC=2939|UniProtKB=P51530,HUMAN|HGNC=33164|UniProtKB=Q6NXT2,HUMAN|HGNC=29787|UniProtKB=Q969P6,HUMAN|HGNC=9970|UniProtKB=P35250,HUMAN|HGNC=9969|UniProtKB=P35251,HUMAN|HGNC=9173|UniProtKB=P09884,HUMAN|HGNC=9972|UniProtKB=P35249	DNA replication	18	121	338
P02781	HUMAN|HGNC=19974|UniProtKB=Q8IUC4	Threonine biosynthesis	5	22	95
