HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998, LYS2, ACSF4
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5, CGI-80, AASD-PPT, ACPS
HGNC:17366	AASS	aminoadipate-semialdehyde synthase		LORSDH, LKRSDH
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer		
HGNC:19235	AATF	apoptosis antagonizing transcription factor		DED, CHE-1, CHE1, BFR2
HGNC:21	AATK	apoptosis-associated tyrosine kinase		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77
HGNC:40053	AATK-AS1	AATK antisense RNA 1		
HGNC:22	AAVS1	adeno-associated virus integration site 1		AAV
HGNC:11	AA~withdrawn	symbol withdrawn, see TEAD1		
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA		INXS
HGNC:23	ABAT	4-aminobutyrate aminotransferase		GABAT
HGNC:24	ABC1~withdrawn	symbol withdrawn, see ABCA1		
HGNC:25	ABC2~withdrawn	symbol withdrawn, see ABCA2		
HGNC:26	ABC3~withdrawn	symbol withdrawn, see ABCA3		
HGNC:28	ABC7~withdrawn	symbol withdrawn, see ABCB7		
HGNC:27	ABC50~withdrawn	symbol withdrawn, see ABCF1		
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	ABC1, HDLDT1	TGD
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	ABC2	
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	ABC3	ABC-C, EST111653, LBM180
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5		EST90625
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6		EST155051
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7		ABCX
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8		KIAA0822
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9		EST640918
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1		
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10		EST698739
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11	EST1133530, FLJ14297
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	ICR2B	DKFZP434G232, LI2
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13		FLJ33876, FLJ33951
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene		
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20
HGNC:11563	ABCB2~withdrawn	symbol withdrawn, see TAP1		
HGNC:11564	ABCB3~withdrawn	symbol withdrawn, see TAP2		
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	PGY3, MDR3	MDR2, PFIC-3, GBD1
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5		EST422562, ABCB5beta, ABCB5alpha
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		EST45597, umat, MTABC3
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	ABC7	EST140535, Atm1p, ASAT
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8		EST328128, M-ABC1, MABC1
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9		EST122234
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10		EST20237, M-ABC2, MTABC2
HGNC:14114	ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1	ABCB10P, ABCB10P2	M-ABC2, MABC2
HGNC:31128	ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1		
HGNC:31129	ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3		
HGNC:31130	ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4		
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	MRP, MRP1	GS-X
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	CMOAT	DJS, MRP2, cMRP
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4		MRP4, EST170205, MOAT-B, MOATB
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5		MRP5, SMRP, EST277145, MOAT-C
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1		
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	ARA, PXE	MRP6, EST349056, MLP1, URG7
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1		
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2		
HGNC:58	ABCC7~withdrawn	symbol withdrawn, see CFTR		
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9		SUR2, CMD1O
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10		EST182763, MRP7, SIMRP7
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11		MRP8
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12		MRP9
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		PRED6, C21orf73, ABCC13P
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN, ALDP, adrenoleukodystrophy
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1		
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		bA453N3.6
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3		
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4		
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5		
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR, ALDRP
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70, ZWS2
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	PMP69, P70R, EST352188
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	RNASEL1, RNASELI, RNS4I	RLI, OABP
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2		EST133090, ABC28, M-ABC1, HUSSY-18
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1		
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2		
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3		EST201864
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1		ABC8
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		EST157481, MXR, BCRP, ABCP, CD338
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4		WHITE2
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5		STSL
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8		GBD4
HGNC:75	ABCR~withdrawn	symbol withdrawn, see ABCA4		
HGNC:17553	ABHD1	abhydrolase domain containing 1		LABH1, FLJ36128
HGNC:18717	ABHD2	abhydrolase domain containing 2		LABH2
HGNC:18718	ABHD3	abhydrolase domain containing 3		LABH3
HGNC:20154	ABHD4	abhydrolase domain containing 4		FLJ12816
HGNC:21396	ABHD5	abhydrolase domain containing 5		CGI-58, NCIE2
HGNC:21398	ABHD6	abhydrolase domain containing 6		
HGNC:23759	ABHD8	abhydrolase domain containing 8		FLJ11743, MGC14280, MGC2512
HGNC:25656	ABHD10	abhydrolase domain containing 10		FLJ11342
HGNC:16407	ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	WBSCR26, LINC00035	NCRNA00035
HGNC:40012	ABHD11-AS2~withdrawn	entry withdrawn		
HGNC:15868	ABHD12	abhydrolase domain containing 12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3
HGNC:20293	ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2, FLJ14906, BEM46L1
HGNC:24538	ABHD14A	abhydrolase domain containing 14A		DKFZP564O243, DORZ1
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough		
HGNC:28235	ABHD14B	abhydrolase domain containing 14B		MGC15429, CIB
HGNC:26971	ABHD15	abhydrolase domain containing 15		
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1		linc-TP53I13, lnc-TP53I13
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	BAT5	NG26, D6S82E
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	C19orf27, FAM108A1	MGC5244
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47
HGNC:33538	ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1		
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	FAM108A4, FAM108A4P	
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	FAM108A5, FAM108A5P	
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	FAM108A6, FAM108A6P	
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	FAM108A7P	
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	FAM108A8P	
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	FAM108A9P	
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	FAM108A10P	
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	C9orf77, FAM108B1	CGI-67
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	FAM108C1	
HGNC:26111	ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106
HGNC:11320	ABI1	abl interactor 1	SSH3BP1	E3B1, ABI-1
HGNC:20035	ABI1P1	abl-interactor 1 pseudogene 1	SSH3BP1P, ABI1P	
HGNC:24011	ABI2	abl-interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2
HGNC:29859	ABI3	ABI family member 3		NESH, SSH3BP3
HGNC:17265	ABI3BP	ABI family member 3 binding protein		NESHBP, DKFZP586L2024, TARSH
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG
HGNC:78	ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin
HGNC:19195	ABLIM2	actin binding LIM protein family member 2		KIAA1808
HGNC:29132	ABLIM3	actin binding LIM protein family member 3		KIAA0843
HGNC:79	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)		A3GALNT, A3GALT1
HGNC:81	ABR	active BCR-related		MDB
HGNC:30655	ABRA	actin binding Rho activating protein		STARS
HGNC:21230	ABRACL	ABRA C-terminal like	C6orf115	PRO2013, HSPC280, Costars
HGNC:17369	ABT1	activator of basal transcription 1		
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1		
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1		BPOZ, EF1ABP, Btb3, BTBD21
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2		DKFZP586C1619, BTBD22, ABTB2A
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1		
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2		DSAEC
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	ACC1
HGNC:85	ACACB	acetyl-CoA carboxylase beta		HACC275, ACC2, ACCB
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8		
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9		NPD002, MGC14452
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592
HGNC:88	ACADL	acyl-CoA dehydrogenase, long chain		LCAD, ACAD4
HGNC:89	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain		MCAD, MCADH, ACAD1
HGNC:90	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain		SCAD, ACAD3
HGNC:91	ACADSB	acyl-CoA dehydrogenase, short/branched chain		SBCAD, ACAD7
HGNC:92	ACADVL	acyl-CoA dehydrogenase, very long chain		VLCAD, LCACD, ACAD6
HGNC:86	ACAD~withdrawn	entry withdrawn		
HGNC:319	ACAN	aggrecan	MSK16, CSPG1, AGC1	CSPGCP
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041, CNT-B2
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1		
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2		
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	GCP60, PAP7
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4		FLJ13322
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417, KIAA1996
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6		MGC2404
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7		FLJ38219, bA455B2.2
HGNC:96	ACBP~withdrawn	symbol withdrawn, see CPN2		
HGNC:98	ACCN~withdrawn	symbol withdrawn, see ASIC2		
HGNC:14594	ACCPN~withdrawn	symbol withdrawn, see SLC12A6		
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		PHACS, ACS
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase (inactive)-like		
HGNC:97	ACC~withdrawn	symbol withdrawn, see ACACA		
HGNC:25070	ACD	adrenocortical dysplasia homolog (mouse)		Ptop, Pip1, Tpp1, Tint1
HGNC:2707	ACE	angiotensin I converting enzyme	DCP1	ACE1, CD143
HGNC:13557	ACE2	angiotensin I converting enzyme 2		
HGNC:44365	ACE3P	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene		
HGNC:18356	ACER1	alkaline ceramidase 1	ASAH3	
HGNC:23675	ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587
HGNC:16066	ACER3	alkaline ceramidase 3	PHCA	FLJ11238, APHC
HGNC:107	ACHAP~withdrawn	symbol withdrawn, see CUTA		
HGNC:108	ACHE	acetylcholinesterase (Yt blood group)	YT	
HGNC:109	ACHM1~withdrawn	symbol withdrawn, see CNGB3		
HGNC:110	ACHM2~withdrawn	symbol withdrawn, see CNGA3		
HGNC:111	ACHM3~withdrawn	symbol withdrawn, see CNGB3		
HGNC:112	ACHRD~withdrawn	symbol withdrawn, see CHRND		
HGNC:113	ACHRG~withdrawn	symbol withdrawn, see CHRNG		
HGNC:106	ACH~withdrawn	symbol withdrawn, see FGFR3		
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670, fSAP152
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	CCBP1, GPD, Dfy, CD234
HGNC:1565	ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	CCR10, D6, CCR9
HGNC:23692	ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	RDC1, GPR159
HGNC:1611	ACKR4	atypical chemokine receptor 4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1
HGNC:114	ACLS	acrocallosal syndrome		
HGNC:115	ACLY	ATP citrate lyase		ATPCL, CLATP, ACL
HGNC:116	ACMG~withdrawn	entry withdrawn		
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase		
HGNC:117	ACO1	aconitase 1	IREB1	IRP1, IREBP
HGNC:118	ACO2	aconitase 2		ACONM
HGNC:33904	ACOD1	aconitate decarboxylase 1	IRG1	CAD
HGNC:33128	ACOT1	acyl-CoA thioesterase 1		ACH2, CTE-1, LACH2
HGNC:18431	ACOT2	acyl-CoA thioesterase 2		Mte1, ZAP128
HGNC:19748	ACOT4	acyl-CoA thioesterase 4		FLJ31235, PTE-Ib, PTE2B
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	C14orf42	
HGNC:24157	ACOT7	acyl-CoA thioesterase 7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III, hTE, PTE-2, NAP1
HGNC:17152	ACOT9	acyl-CoA thioesterase 9		CGI-16, MT-ACT48, ACATE2
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1
HGNC:24436	ACOT12	acyl-CoA thioesterase 12		Cach, THEAL, STARD15
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	THEM2	HT012
HGNC:119	ACOX1	acyl-CoA oxidase 1, palmitoyl		PALMCOX
HGNC:120	ACOX2	acyl-CoA oxidase 2, branched chain		BRCACOX, BRCOX, THCCox
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl		
HGNC:25621	ACOXL	acyl-CoA oxidase-like		FLJ11042
HGNC:122	ACP1	acid phosphatase 1, soluble		HAAP, LMW-PTP
HGNC:123	ACP2	acid phosphatase 2, lysosomal		LAP
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant		TRAP, HPAP
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic		LPAP, ACPL1
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)		FLJ16165, PAPL1
HGNC:125	ACPP	acid phosphatase, prostate		ACP3, ACP-3, PAP
HGNC:14376	ACPT	acid phosphatase, testicular		
HGNC:126	ACR	acrosin		
HGNC:17195	ACRBP	acrosin binding protein		SP32, OY-TES-1, CT23
HGNC:15805	ACRC	acidic repeat containing		
HGNC:127	ACRV1	acrosomal vesicle protein 1		SPACA2, SP-10, D11S4365
HGNC:128	ACS3~withdrawn	symbol withdrawn, see TWIST1		
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2		BGR, PRTD-NY3, DKFZp434K1635
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2		FLJ20920, ACSMW
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3		
HGNC:3569	ACSL1	acyl-CoA synthetase long-chain family member 1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1
HGNC:3570	ACSL3	acyl-CoA synthetase long-chain family member 3	FACL3	ACS3, PRO2194
HGNC:3571	ACSL4	acyl-CoA synthetase long-chain family member 4	FACL4, MRX63, MRX68	ACS4, LACS4
HGNC:16526	ACSL5	acyl-CoA synthetase long-chain family member 5	FACL5	ACS5, ACS2
HGNC:16496	ACSL6	acyl-CoA synthetase long-chain family member 6	FACL6	KIAA0837, ACS2, LACS5, LACS2
HGNC:18049	ACSM1	acyl-CoA synthetase medium-chain family member 1	BUCS1	MACS1
HGNC:32017	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	ACSM2	A-923A4.1, MGC150530
HGNC:30931	ACSM2B	acyl-CoA synthetase medium-chain family member 2B	ACSM2	HXMA, HYST1046
HGNC:10522	ACSM3	acyl-CoA synthetase medium-chain family member 3	SAH	SA
HGNC:32016	ACSM4	acyl-CoA synthetase medium-chain family member 4		
HGNC:26060	ACSM5	acyl-CoA synthetase medium-chain family member 5		FLJ20581
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium-chain family member 5 pseudogene 1		
HGNC:31665	ACSM6	acyl-CoA synthetase medium-chain family member 6	C10orf129	bA310E22.3
HGNC:16091	ACSS1	acyl-CoA synthetase short-chain family member 1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843
HGNC:15814	ACSS2	acyl-CoA synthetase short-chain family member 2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1
HGNC:24723	ACSS3	acyl-CoA synthetase short-chain family member 3		FLJ21963
HGNC:129	ACTA1	actin, alpha 1, skeletal muscle	ACTA	NEM3
HGNC:130	ACTA2	actin, alpha 2, smooth muscle, aorta		ACTSA
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1		uc001kfo.1, ZXF1
HGNC:131	ACTA3~withdrawn	symbol withdrawn, see ACTG2		
HGNC:132	ACTB	actin, beta		
HGNC:17780	ACTBL2	actin, beta-like 2		DKFZp686D0972
HGNC:134	ACTBP1	actin, beta pseudogene 1		
HGNC:135	ACTBP2	actin, beta pseudogene 2		
HGNC:136	ACTBP3	actin, beta pseudogene 3		
HGNC:137	ACTBP4	actin, beta pseudogene 4		
HGNC:138	ACTBP5~withdrawn	entry withdrawn		
HGNC:139	ACTBP6	actin, beta pseudogene 6		
HGNC:140	ACTBP7	actin, beta pseudogene 7		
HGNC:141	ACTBP8	actin, beta pseudogene 8		ACTBP2
HGNC:142	ACTBP9	actin, beta pseudogene 9		
HGNC:31819	ACTBP10	actin, beta pseudogene 10		
HGNC:33971	ACTBP11	actin, beta pseudogene 11		
HGNC:150	ACTBP12	actin, beta pseudogene 12	ACTGP5	
HGNC:44626	ACTBP13	actin, beta pseudogene 13		
HGNC:45086	ACTBP14	actin, beta pseudogene 14		
HGNC:143	ACTC1	actin, alpha, cardiac muscle 1	ACTC	CMD1R
HGNC:144	ACTG1	actin gamma 1	ACTG, DFNA20, DFNA26	
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1	ACTGP1, ACT1GP1	
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2	ACTL2, ACTGP2	
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3	ACTGP3	
HGNC:149	ACTG1P4	actin gamma 1 pseudogene 4	ACTGP4	
HGNC:151	ACTG1P6	actin gamma 1 pseudogene 6	ACTGP6	
HGNC:152	ACTG1P7	actin gamma 1 pseudogene 7	ACTGP7	
HGNC:153	ACTG1P8	actin gamma 1 pseudogene 8	ACTGP8	
HGNC:154	ACTG1P9	actin gamma 1 pseudogene 9	ACTGP9	
HGNC:155	ACTG1P10	actin gamma 1 pseudogene 10	ACTL1, ACTGP10	
HGNC:37651	ACTG1P11	actin gamma 1 pseudogene 11		
HGNC:44496	ACTG1P12	actin gamma 1 pseudogene 12		
HGNC:49058	ACTG1P13	actin gamma 1 pseudogene 13		
HGNC:49751	ACTG1P14	actin gamma 1 pseudogene 14		
HGNC:51495	ACTG1P15	actin gamma 1 pseudogene 15		
HGNC:51496	ACTG1P16	actin gamma 1 pseudogene 16		
HGNC:51497	ACTG1P17	actin gamma 1 pseudogene 17		
HGNC:51498	ACTG1P18	actin gamma 1 pseudogene 18		
HGNC:51499	ACTG1P19	actin gamma 1 pseudogene 19		
HGNC:51500	ACTG1P20	actin gamma 1 pseudogene 20		
HGNC:51501	ACTG1P21	actin gamma 1 pseudogene 21		
HGNC:51502	ACTG1P22	actin gamma 1 pseudogene 22		
HGNC:51503	ACTG1P23	actin gamma 1 pseudogene 23		
HGNC:49661	ACTG1P24	actin gamma 1 pseudogene 24	POTENP	
HGNC:145	ACTG2	actin, gamma 2, smooth muscle, enteric	ACTL3, ACTA3	ACTSG
HGNC:156	ACTL2~withdrawn	symbol withdrawn, see ACTG1P2		
